DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL032,2019,27.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL033,2017,28.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL033,2018,28.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL033,2019,29.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL034,2017,27.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL034,2018,28.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL034,2019,28.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL035,2017,28.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL035,2018,28.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AL035,2019,28.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT111,2017,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT111,2018,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT111,2019,31.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT112,2017,30.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT112,2018,31.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT112,2019,31.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT113,2017,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT113,2018,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT113,2019,30.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT121,2017,30.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT121,2018,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT121,2019,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT122,2017,30.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT122,2018,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT122,2019,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT123,2017,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT123,2018,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT123,2019,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT124,2017,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT124,2018,30.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT124,2019,30.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT125,2017,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT125,2018,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT125,2019,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT126,2017,31.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT126,2018,31.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT126,2019,31.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT127,2017,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT127,2018,30.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT127,2019,30.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT130,2017,30.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT130,2018,31.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT130,2019,31.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT211,2017,30.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT211,2018,30.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT211,2019,30.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT212,2017,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT212,2018,30.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT212,2019,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT213,2017,30.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT213,2018,29.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT213,2019,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT221,2017,31.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT221,2018,31.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT221,2019,31.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT222,2017,29.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT222,2018,29.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT222,2019,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT223,2017,29.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT223,2018,29.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT223,2019,30.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT224,2017,30.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT224,2018,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT224,2019,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT225,2017,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT225,2018,30.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT225,2019,30.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT226,2017,29.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT226,2018,30.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT226,2019,30.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT311,2017,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT311,2018,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT311,2019,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT312,2017,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT312,2018,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT312,2019,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT313,2017,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT313,2018,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT313,2019,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT314,2017,30.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT314,2018,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT314,2019,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT315,2017,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT315,2018,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT315,2019,30.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT321,2017,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT321,2018,30.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT321,2019,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT322,2017,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT322,2018,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT322,2019,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT323,2017,30.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT323,2018,31.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT323,2019,31.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT331,2017,31.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT331,2018,31.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT331,2019,31.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT332,2017,31.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT332,2018,31.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT332,2019,32.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT333,2017,30.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT333,2018,31.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT333,2019,31.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT334,2017,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT334,2018,30.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT334,2019,30.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT335,2017,31.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT335,2018,31.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT335,2019,31.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT341,2017,31.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT341,2018,31.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT341,2019,31.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT342,2017,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT342,2018,31.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,AT342,2019,31.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE100,2017,31.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE100,2018,31.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE100,2019,32.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE211,2017,30.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE211,2018,30.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE211,2019,30.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE212,2017,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE212,2018,30.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE212,2019,30.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE213,2017,30.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE213,2018,30.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE213,2019,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE221,2017,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE221,2018,30.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE221,2019,30.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE222,2017,30.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE222,2018,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE222,2019,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE223,2017,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE223,2018,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE223,2019,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE231,2017,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE231,2018,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE231,2019,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE232,2017,30.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE232,2018,30.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE232,2019,30.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE233,2017,29.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE233,2018,29.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE233,2019,29.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE234,2017,30.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE234,2018,30.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE234,2019,30.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE235,2017,30.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE235,2018,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE235,2019,30.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE236,2017,29.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE236,2018,30.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE236,2019,30.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE241,2017,31.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE241,2018,31.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE241,2019,31.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE242,2017,31.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE242,2018,31.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE242,2019,31.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE251,2017,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE251,2018,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE251,2019,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE252,2017,29.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE252,2018,29.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE252,2019,29.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE253,2017,29.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE253,2018,29.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE253,2019,29.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE254,2017,29.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE254,2018,30.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE254,2019,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE255,2017,29.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE255,2018,29.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE255,2019,29.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE256,2017,29.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE256,2018,29.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE256,2019,29.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE257,2017,29.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE257,2018,29.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE257,2019,29.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE258,2017,29.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE258,2018,29.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE258,2019,29.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE310,2017,31.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE310,2018,32.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE310,2019,32.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE321,2017,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE321,2018,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE321,2019,30.6,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE322,2017,29.9,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE322,2018,30.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE322,2019,30.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE323,2017,29.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE323,2018,30.0,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE323,2019,30.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE324,2017,29.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE324,2018,29.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE324,2019,29.8,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE325,2017,30.3,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE325,2018,30.4,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE325,2019,30.5,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE326,2017,29.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE326,2018,30.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE326,2019,29.7,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE327,2017,30.1,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE327,2018,30.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE327,2019,30.2,
ESTAT:DEMO_R_FIND3(1.0),06/05/22 23:00:00,A,AGEMOTH,YR,BE331,2017,30.2,
